 0003401010豊 通 ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株 089501001160407000016033101    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005040344Q(株 ） テ ィ ム ス        072101002000000000000000000    011101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112                                                           
 0015503470新 城 工 場             085101001000000000022053101    021101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016503471新 城 工 場             000104001000000000022031002    000000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020603472新 城 工 場 -豊 川 ｺｰﾃｨﾝｸﾞ054101005000000000022053101    020010000100000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015703473豊 川 事 業 所 （ ア ー ク ） 077101004000000000022053101    020100000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040103475新 城 工 場 -豊 川 事 業 所  054101005000000000021022601    010100000100000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016603476新 城 工 場             000104001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020403479新 城 工 場 （ 運 輸  豊 川 )000101001000000000022053101    020000000000000050505050510111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 004790347Q新 城 工 場             085101002000000000022053101    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009503540(株 )ウ ェ ル テ ッ ク 伸 栄 075101002000000000022053101    021101110110011050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0053603541(株 )ウ ェ ル テ ッ ク 伸 栄 000101001000000000000000000    011101110110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0053803542(株 )ウ ェ ル テ ッ ク 伸 栄 000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017803546(株 )ウ ェ ル テ ッ ク 伸 栄 000101002000000000000000000    011101000110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0046203547シ ロ ワ 部 品 工 業 ㈱     000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046303548和 日 呂 工 業 ㈱         000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046403549㈲ タ ケ ダ 製 作 所       000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004850354Q(株 )ウ ェ ル テ ッ ク 伸 栄 000101002000000000000000000    011101000110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0043903820い づ み 工 業 （ 株 ）     089101001000000000022053101    021101001110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044003826い づ み 工 業 （ 株 ）     089101001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005050382Qい づ み 工 業 （ 株 ）     089101001000000000000000000    011101001110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051203871㈱ 高 木 運 輸 豊 川 事 業 所 000101001000000000000000000    011101000110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0051303872㈱ 高 木 運 輸 豊 川 事 業 所 054101005000000000022053101    021111010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0051503873㈱ 高 木 運 輸 豊 川 事 業 所 063101001000000000022053101    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055903874㈱ 高 木 運 輸 豊 川 事 業 所 063101003000000000022053101    021111001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003004010新 協 技 研 （ 株 ） 第 ２   069102002000000000022053101    021101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0021104011新 協 (株 ） 第 ２        00710200200000000002205310129  021111000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0006504016新 協 技 研 （ 株 ） 第 ２   000102001000000000000000000    011101010111010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 004870401Q新 協 技 研 （ 株 ） 第 2   069102002000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0002904020（ 有 ） 小 野 鍍 金 工 業 所 089102002000000000022053101    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021204021(有 ） 小 野 鍍 金 工 業 所  00710200300000000002205310129  021111000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004880402Q(有 ） 小 野 鍍 金 工 業 所  089102002000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000704040幸 南 工 業 （ 株 ）       089101002000000000022053101    021111000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0013404041幸 南 工 業 (株 )本 社 工 場 000101002000000000022053101    021111010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0015304042㈱ 光 化 工             089101001000000000022053101    021101110110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015804043幸 南 工 業 （ 株 ） 内 職   05910100200000000002205300147  020100000100010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0006604046幸 南 工 業 （ 株 ）       000101002000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 004890404Q幸 南 工 業 （ 株 ）       089101002000000000000000000    011111000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0000804050（ 有 ） 中 部 鍍 金       089101001000000000022053101    021101110110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015904051（ 有 ） 中 部 鍍 金       064101002000000000022053001    021111110110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004900405Q(有 ） 中 部 鍍 金        089101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006304090（ 株 ） 興 和 工 業 所     089101003000000000022053101    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004910409Q(株 ） 興 和 工 業 所      089101003000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006904110旭 千 代 田 工 業 （ 株 ）   089101005000000000094083000    021111000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016004111旭 千 代 田 工 業 (株 )岐 阜 089101005000000000000000000    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016104112旭 千 代 田 工 業 (株 )豊 橋 089101005000000000000000000    021101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016204113旭 千 代 田 (ﾒﾀﾙﾋｰﾄ)    089101005000000000022053101    021101000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0016304114旭 千 代 田 工 業 （ 株 ）   089101005000000000000000000    011111000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044704115旭 千 代 田 工 業 (株 )土 岐 089101005000000000000000000    021111000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016404117旭 千 代 田 （ 株 ） 豊 橋   089101005000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004920411Q旭 千 代 田 工 業 （ 株 ）   089101005000000000000000000    011111000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006404130（ 有 ） 蒲 郡 鍍 金 工 業 所 089101001000000000022053101    021101110110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 000400413Q(有 )蒲 郡 鍍 金 工 業 所   089101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008704180イ ソ ガ イ （ 株 ）       089101002000000000022053101    021101100110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004930418Qイ ソ ガ イ (株 ）        089101002000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016704230（ 株 ） フ ク タ カ 高 島   089101002000000000022053101    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018404231㈱ フ ク タ カ 保 田 (ﾒｯｷ) 089101003000000000022053101    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
